timestamp,event,ear,mar,tilt,score,snapshot
2025-12-04_16-36-53,DROWSY,0.03860516775021107,0.14689026174521894,-1.8926691120249028,1,snapshots/snap_2025-12-04_16-36-53.jpg
2025-12-04_16-36-53,DROWSY,0.03520147262206701,0.14795608683528508,-2.474898503260236,2,snapshots/snap_2025-12-04_16-36-53.jpg
2025-12-04_16-36-53,DROWSY,0.04296919479209993,0.1475030635745045,-1.8070098298901929,3,snapshots/snap_2025-12-04_16-36-53.jpg
2025-12-04_16-36-53,DROWSY,0.04335426961523137,0.14643147914931512,-1.4759984333312992,4,snapshots/snap_2025-12-04_16-36-53.jpg
2025-12-04_16-36-53,DROWSY,0.0395154171022237,0.14666612218965816,-1.8796082205520086,5,snapshots/snap_2025-12-04_16-36-53.jpg
2025-12-04_16-36-53,DROWSY,0.03784271968292987,0.14541737995768142,-1.8737806022216372,6,snapshots/snap_2025-12-04_16-36-53.jpg
2025-12-04_16-36-53,DROWSY,0.04004412108894415,0.1451583676918665,-1.9369183228019995,7,snapshots/snap_2025-12-04_16-36-53.jpg
2025-12-04_16-36-53,DROWSY,0.03940241247805855,0.14641196095575526,-2.5699658252287385,8,snapshots/snap_2025-12-04_16-36-53.jpg
2025-12-04_16-36-53,DROWSY,0.040791916842178144,0.14354885060181208,-1.9367435922275993,9,snapshots/snap_2025-12-04_16-36-53.jpg
2025-12-04_16-36-53,DROWSY,0.03837695985144139,0.1441350349699647,-2.307419075267896,10,snapshots/snap_2025-12-04_16-36-53.jpg
2025-12-04_16-36-53,DROWSY,0.037740475306230065,0.1419416287558699,-2.0882439323888264,11,snapshots/snap_2025-12-04_16-36-53.jpg
2025-12-04_16-36-53,DROWSY,0.03889305463548688,0.14389135868276268,-1.8039180975147338,12,snapshots/snap_2025-12-04_16-36-53.jpg
2025-12-04_16-36-53,DROWSY,0.045082410460994315,0.1504240012233383,-2.393729547211277,13,snapshots/snap_2025-12-04_16-36-53.jpg
2025-12-04_16-36-53,DROWSY,0.049470959301218906,0.14550657116126572,-1.5942772866036958,14,snapshots/snap_2025-12-04_16-36-53.jpg
2025-12-04_16-36-54,DROWSY,0.04156751558966021,0.13952406570804002,-1.6311075418227698,15,snapshots/snap_2025-12-04_16-36-54.jpg
2025-12-04_16-36-54,DROWSY,0.041212731176054784,0.1480135702693992,-2.1894849168143535,16,snapshots/snap_2025-12-04_16-36-54.jpg
2025-12-04_16-36-54,DROWSY,0.04121555472127211,0.13666495637226986,-1.8093317635983446,17,snapshots/snap_2025-12-04_16-36-54.jpg
2025-12-04_16-36-54,DROWSY,0.04108755889034389,0.14015399075482032,-1.4575260626383215,18,snapshots/snap_2025-12-04_16-36-54.jpg
2025-12-04_16-36-54,DROWSY,0.11029969879494426,0.13904164448553533,-3.206064515450254,19,snapshots/snap_2025-12-04_16-36-54.jpg
2025-12-04_16-36-55,DROWSY,0.15902098614976634,0.14267487301603832,-3.9717701533196514,20,snapshots/snap_2025-12-04_16-36-55.jpg
2025-12-04_16-36-55,DROWSY,0.15573623318368787,0.14260188171355948,-3.912118931532315,21,snapshots/snap_2025-12-04_16-36-55.jpg
2025-12-04_16-36-55,DROWSY,0.15095822758969674,0.1355090655890087,-3.8035793767972876,22,snapshots/snap_2025-12-04_16-36-55.jpg
2025-12-04_16-36-55,DROWSY,0.14321099664983575,0.1363691927049291,-3.788045295301531,23,snapshots/snap_2025-12-04_16-36-55.jpg
2025-12-04_16-36-55,DROWSY,0.14022490000796517,0.13660391116374693,-4.224916589582573,24,snapshots/snap_2025-12-04_16-36-55.jpg
2025-12-04_16-36-55,DROWSY,0.13750346372078398,0.13968245905935003,-4.395807030404937,25,snapshots/snap_2025-12-04_16-36-55.jpg
2025-12-04_16-36-55,DROWSY,0.13818608091772994,0.13667166830460126,-3.9005546454278734,26,snapshots/snap_2025-12-04_16-36-55.jpg
2025-12-04_16-36-55,DROWSY,0.13891564039830795,0.14271391840117187,-4.170056580785266,27,snapshots/snap_2025-12-04_16-36-55.jpg
2025-12-04_16-36-55,DROWSY,0.1424166949218831,0.14514230455192856,-4.869604057773487,28,snapshots/snap_2025-12-04_16-36-55.jpg
2025-12-04_16-36-55,DROWSY,0.14708435791124577,0.16491283651229513,-5.032229045551349,29,snapshots/snap_2025-12-04_16-36-55.jpg
2025-12-04_16-36-55,DROWSY,0.13656485638823174,0.13902643034937553,-4.630777301036374,30,snapshots/snap_2025-12-04_16-36-55.jpg
2025-12-04_16-36-55,DROWSY,0.15004558129614012,0.16031782504852876,-5.408387338161787,31,snapshots/snap_2025-12-04_16-36-55.jpg
2025-12-04_16-36-55,DROWSY,0.14556619532684864,0.17407387307296435,-5.128439407646774,32,snapshots/snap_2025-12-04_16-36-55.jpg
2025-12-04_16-36-55,DROWSY,0.15025499084871147,0.14457786429817585,-5.04380583165308,33,snapshots/snap_2025-12-04_16-36-55.jpg
2025-12-04_16-36-55,DROWSY,0.15147966742713295,0.14182417882823714,-5.100445653937781,34,snapshots/snap_2025-12-04_16-36-55.jpg
2025-12-04_16-36-55,DROWSY,0.15025745574591065,0.14774325706293068,-5.066645540553747,35,snapshots/snap_2025-12-04_16-36-55.jpg
2025-12-04_16-36-55,DROWSY,0.14174948411857027,0.13933395706772045,-5.323578113889135,36,snapshots/snap_2025-12-04_16-36-55.jpg
2025-12-04_16-36-55,DROWSY,0.15279662392793725,0.13806874327048413,-5.39689074705215,37,snapshots/snap_2025-12-04_16-36-55.jpg
